neighbourhood,latitude,longitude,room_type,price,stars
Nrrebro,55.68641,12.54741,Entire home/apt,717,2
Indre By,55.6930710700191,12.576494184665,Entire home/apt,2400,1
Vesterbro-Kongens Enghave,55.66539,12.55639,Entire home/apt,750,3
Vesterbro-Kongens Enghave,55.672638,12.552493,Entire home/apt,1153,1
sterbro,55.71176,12.57091,Entire home/apt,617,3
Vesterbro-Kongens Enghave,55.66631,12.54555,Entire home/apt,1000,2
Indre By,55.68547,12.56543,Entire home/apt,2576,2
Amager Vest,55.66507,12.58315,Entire home/apt,1500,1
Frederiksberg,55.68127,12.55389,Entire home/apt,535,1
Vesterbro-Kongens Enghave,55.6672,12.54668,Entire home/apt,915,1
Frederiksberg,55.68493,12.53434,Private room,414,4
Indre By,55.68384,12.56687,Entire home/apt,1257,3
Indre By,55.69565,12.58177,Entire home/apt,1376,5
Frederiksberg,55.68068,12.54581,Entire home/apt,1488,4
Frederiksberg,55.67757,12.55608,Entire home/apt,1750,2
Indre By,55.68313,12.56225,Entire home/apt,1406,5
Nrrebro,55.68828,12.56401,Entire home/apt,1339,2
sterbro,55.70673,12.58533,Private room,1683,3
Nrrebro,55.69223,12.54212,Entire home/apt,744,5
Vesterbro-Kongens Enghave,55.66593,12.54435,Private room,500,5
Indre By,55.67367,12.59132,Entire home/apt,1807,5
Nrrebro,55.68963,12.54277,Entire home/apt,861,5
Vesterbro-Kongens Enghave,55.66394,12.54798,Entire home/apt,1029,3
Vesterbro-Kongens Enghave,55.67013,12.54954,Entire home/apt,755,3
Vesterbro-Kongens Enghave,55.66305,12.54577,Private room,350,3
Vesterbro-Kongens Enghave,55.66777,12.54844,Private room,300,2
Nrrebro,55.70001,12.54819,Entire home/apt,1295,1
Vesterbro-Kongens Enghave,55.67069,12.54836,Private room,400,1
Nrrebro,55.68998,12.56223,Entire home/apt,1976,5
Indre By,55.68372,12.59324,Entire home/apt,1464,4
Nrrebro,55.69403,12.56543,Entire home/apt,814,5
Nrrebro,55.68758,12.56053,Entire home/apt,848,5
Nrrebro,55.68868,12.56086,Entire home/apt,1413,3
Frederiksberg,55.67337,12.54143,Entire home/apt,856,4
Vesterbro-Kongens Enghave,55.66792,12.55554,Entire home/apt,671,4
Vesterbro-Kongens Enghave,55.64443,12.52773,Private room,233,4
Nrrebro,55.68867,12.56095,Entire home/apt,1480,3
Nrrebro,55.69008,12.54378,Entire home/apt,881,4
Amager st,55.66135,12.60531,Shared room,2291,4
Indre By,55.68187,12.56375,Private room,500,5
Vesterbro-Kongens Enghave,55.6675,12.55563,Entire home/apt,1564,1
